FREQ,REF_AREA,DATA_TYPE_AGGR,VALUATION,ADJUSTMENT,EDITION,TIME_PERIOD,OBS_VALUE
A,ITC31,D21X31_C_W2_S1,V,N,2025M1,2022,546.0
A,ITC32,B1G_B_W2_S1,V,N,2025M1,2021,7130.0
A,ITC32,B1G_B_W2_S1,V,N,2025M1,2022,7950.0
A,ITC32,B1GQ_B_W2_S1,V,N,2025M1,2021,7968.0
A,ITC32,B1GQ_B_W2_S1,V,N,2025M1,2022,8807.0
A,ITC32,D21X31_C_W2_S1,V,N,2025M1,2021,839.0
A,ITC32,D21X31_C_W2_S1,V,N,2025M1,2022,857.0
A,ITC33,B1G_B_W2_S1,V,N,2025M1,2021,25873.0
A,ITC33,B1G_B_W2_S1,V,N,2025M1,2022,27873.0
A,ITC33,B1GQ_B_W2_S1,V,N,2025M1,2021,28917.0
A,ITC33,B1GQ_B_W2_S1,V,N,2025M1,2022,30878.0
A,ITC33,D21X31_C_W2_S1,V,N,2025M1,2021,3044.0
A,ITC33,D21X31_C_W2_S1,V,N,2025M1,2022,3006.0
A,ITC34,B1G_B_W2_S1,V,N,2025M1,2021,6516.0
A,ITC34,B1G_B_W2_S1,V,N,2025M1,2022,6996.0
A,ITC34,B1GQ_B_W2_S1,V,N,2025M1,2021,7283.0
A,ITC34,B1GQ_B_W2_S1,V,N,2025M1,2022,7750.0
A,ITC34,D21X31_C_W2_S1,V,N,2025M1,2021,767.0
A,ITC34,D21X31_C_W2_S1,V,N,2025M1,2022,754.0
A,ITC4,B1G_B_W2_S1,V,N,2025M1,2021,378115.7
A,ITC4,B1G_B_W2_S1,V,N,2025M1,2022,410418.3
A,ITC4,B1G_B_W2_S1,V,N,2025M1,2023,439933.9
A,ITC4,B1GQ_B_W2_S1,V,N,2025M1,2021,424241.9
A,ITC4,B1GQ_B_W2_S1,V,N,2025M1,2022,457669.6
A,ITC4,B1GQ_B_W2_S1,V,N,2025M1,2023,490349.8
A,ITC4,D21X31_C_W2_S1,V,N,2025M1,2021,46126.2
A,ITC4,D21X31_C_W2_S1,V,N,2025M1,2022,47251.3
A,ITC4,D21X31_C_W2_S1,V,N,2025M1,2023,50415.9
A,ITC41,B1G_B_W2_S1,V,N,2025M1,2021,24366.0
A,ITC41,B1G_B_W2_S1,V,N,2025M1,2022,26956.0
A,ITC41,B1GQ_B_W2_S1,V,N,2025M1,2021,27338.0
A,ITC41,B1GQ_B_W2_S1,V,N,2025M1,2022,30060.0
A,ITC41,D21X31_C_W2_S1,V,N,2025M1,2021,2972.0
A,ITC41,D21X31_C_W2_S1,V,N,2025M1,2022,3103.0
A,ITC42,B1G_B_W2_S1,V,N,2025M1,2021,15937.0
A,ITC42,B1G_B_W2_S1,V,N,2025M1,2022,17495.0
A,ITC42,B1GQ_B_W2_S1,V,N,2025M1,2021,17881.0
A,ITC42,B1GQ_B_W2_S1,V,N,2025M1,2022,19509.0
A,ITC42,D21X31_C_W2_S1,V,N,2025M1,2021,1944.0
A,ITC42,D21X31_C_W2_S1,V,N,2025M1,2022,2014.0
A,ITC43,B1G_B_W2_S1,V,N,2025M1,2021,10108.0
A,ITC43,B1G_B_W2_S1,V,N,2025M1,2022,10892.0
A,ITC43,B1GQ_B_W2_S1,V,N,2025M1,2021,11341.0
A,ITC43,B1GQ_B_W2_S1,V,N,2025M1,2022,12146.0
A,ITC43,D21X31_C_W2_S1,V,N,2025M1,2021,1233.0
A,ITC43,D21X31_C_W2_S1,V,N,2025M1,2022,1254.0
A,ITC44,B1G_B_W2_S1,V,N,2025M1,2021,4877.0
A,ITC44,B1G_B_W2_S1,V,N,2025M1,2022,5376.0
A,ITC44,B1GQ_B_W2_S1,V,N,2025M1,2021,5471.0
